,pwr,vcc,icq
991,12,1300,16486
992,11,1300,16486
993,10,1000,14437
994,9,1000,14437
995,8,1000,14436
996,26,4800,22636
997,25,4500,20587
998,24,3800,18538
999,23,3600,18538
1000,22,3400,18537
1001,21,3200,18537
1002,20,3000,18537
1003,19,2800,18537
1004,18,2600,18537
1005,17,2500,18537
1006,16,2300,18535
1007,15,2500,18535
1008,14,2300,18535
1009,13,1800,16486
1010,12,1300,16486
1011,11,1300,16486
1012,10,1000,14437
1013,9,1000,14437
1014,8,1000,14436
1015,26,4800,22636
1016,25,4500,20587
1017,24,3800,18538
1018,23,3600,18538
1019,22,3400,18537
1020,21,3200,18537
1021,20,3000,18537
1022,19,2800,18537
1023,18,2600,18537
1024,17,2500,18537
1025,16,2300,18535
1026,15,2500,18535
1027,14,2300,18535
1028,13,1800,16486
1029,12,1300,16486
1030,11,1300,16486
1031,10,1000,14437
1032,9,1000,14437
1033,8,1000,14436
1034,26,4800,22636
1035,25,4500,20587
1036,24,3800,18538
1037,23,3600,18538
1038,22,3400,18537
1039,21,3200,18537
1040,20,3000,18537
1041,19,2800,18537
1042,18,2600,18537
1043,17,2500,18537
1044,16,2300,18535
1045,15,2500,18535
1046,14,2300,18535
1047,13,1800,16486
1048,12,1300,16486
1049,11,1300,16486
1050,10,1000,14437
1051,9,1000,14437
1052,8,1000,14436
1053,26,4800,22636
1054,25,4500,20587
1055,24,3800,18538
1056,23,3600,18538
1057,22,3400,18537
1058,21,3200,18537
1059,20,3000,18537
1060,19,2800,18537
1061,18,2600,18537
1062,17,2500,18537
1063,16,2300,18535
1064,15,2500,18535
1065,14,2300,18535
1066,13,1800,16486
1067,12,1300,16486
1068,11,1300,16486
1069,10,1000,14437
1070,9,1000,14437
1071,8,1000,14436
1072,26,4800,22636
1073,25,4500,20587
1074,24,3800,18538
1075,23,3600,18538
1076,22,3400,18537
1077,21,3200,18537
1078,20,3000,18537
1079,19,2800,18537
1080,18,2600,18537
1081,17,2500,18537
1082,16,2300,18535
1083,15,2500,18535
1084,14,2300,18535
1085,13,1800,16486
1086,12,1300,16486
1087,11,1300,16486
1088,10,1000,14437
1089,9,1000,14437
1090,8,1000,14436
1091,26,4800,22636
1092,25,4500,20587
1093,24,3800,18538
1094,23,3600,18538
1095,22,3400,18537
1096,21,3200,18537
1097,20,3000,18537
1098,19,2800,18537
1099,18,2600,18537
1100,17,2500,18537
1101,16,2300,18535
1102,15,2500,18535
1103,14,2300,18535
1104,13,1800,16486
1105,12,1300,16486
1106,11,1300,16486
1107,10,1000,14437
1108,9,1000,14437
1109,8,1000,14436
1110,26,5000,13423
1111,25,5000,13407
1112,24,5000,13407
1113,23,5000,13407
1114,22,4900,13407
1115,21,4500,13407
1116,20,3700,13407
1117,19,3200,14431
1118,18,2800,14431
1119,17,2300,12379
1120,16,2300,12379
1121,15,2300,12379
1122,14,2300,9305
1123,13,1800,9305
1124,12,1800,9305
1125,11,1300,9303
1126,10,1300,9303
1127,9,1000,8596
1128,8,1000,8596
1129,26,5000,13423
1130,25,5000,13407
1131,24,5000,13407
1132,23,5000,13407
1133,22,4900,13407
1134,21,4500,13407
1135,20,3700,13407
1136,19,3200,14431
1137,18,2800,14431
1138,17,2300,12379
1139,16,2300,12379
1140,15,2300,12379
1141,14,2300,9305
1142,13,1800,9305
1143,12,1800,9305
1144,11,1300,9303
1145,10,1300,9303
1146,9,1000,8596
1147,8,1000,8596
1148,26,5000,13423
1149,25,5000,13407
1150,24,5000,13407
1151,23,5000,13407
1152,22,4900,13407
1153,21,4500,13407
1154,20,3700,13407
1155,19,3200,14431
1156,18,2800,14431
1157,17,2300,12379
1158,16,2300,12379
1159,15,2300,12379
1160,14,2300,9305
1161,13,1800,9305
1162,12,1800,9305
1163,11,1300,9303
1164,10,1300,9303
1165,9,1000,8596
1166,8,1000,8596
1167,26,5000,13423
1168,25,5000,13407
1169,24,5000,13407
1170,23,5000,13407
1171,22,4900,13407
1172,21,4500,13407
1173,20,3700,13407
1174,19,3200,14431
1175,18,2800,14431
1176,17,2300,12379
1177,16,2300,12379
1178,15,2300,12379
1179,14,2300,9305
1180,13,1800,9305
1181,12,1800,9305
1182,11,1300,9303
1183,10,1300,9303
1184,9,1000,8596
1185,8,1000,8596
1186,26,5000,13423
1187,25,5000,13407
1188,24,5000,13407
1189,23,5000,13407
1190,22,4900,13407
1191,21,4500,13407
1192,20,3700,13407
1193,19,3200,14431
1194,18,2800,14431
1195,17,2300,12379
1196,16,2300,12379
1197,15,2300,12379
1198,14,2300,9305
1199,13,1800,9305
1200,12,1800,9305
1201,11,1300,9303
1202,10,1300,9303
1203,9,1000,8596
1204,8,1000,8596
1205,26,4500,13423
1206,25,3800,13423
1207,24,3600,13423
1208,23,3400,13423
1209,22,3200,13423
1210,21,3000,13423
1211,20,2800,13423
1212,19,2800,13423
1213,18,2800,13423
1214,17,2300,13423
1215,16,2300,13423
1216,15,2300,13423
1217,14,2300,13423
1218,13,1800,13423
1219,12,1800,13423
1220,11,1300,13423
1221,10,1300,13423
1222,9,1000,13423
1223,8,1000,13423
1224,7,1000,13423
1225,6,1000,13423
1226,4,1000,13423
1227,26,4500,13423
1228,25,3800,13407
1229,24,3600,13407
1230,23,3400,13407
1231,22,3200,13407
1232,21,3000,13407
1233,20,2800,13407
1234,19,2800,14431
1235,18,2800,14431
1236,17,2300,12379
1237,16,2300,12379
1238,15,2300,12379
1239,14,2300,9305
1240,13,1800,9305
1241,12,1800,9305
1242,11,1300,9303
1243,10,1300,9303
1244,9,1000,8596
1245,8,1000,8596
1246,26,4500,13423
1247,25,3800,13423
1248,24,3600,13423
1249,23,3400,13423
1250,22,3200,13423
1251,21,3000,13423
1252,20,2800,13423
1253,19,2800,13423
1254,18,2800,13423
1255,17,2300,13423
1256,16,2300,13423
1257,15,2300,13423
1258,14,2300,13423
1259,13,1800,13423
1260,12,1800,13423
1261,11,1300,13423
1262,10,1300,13423
1263,9,1000,13423
1264,8,1000,13423
1265,7,1000,13423
1266,6,1000,13423
1267,4,1000,13423
1268,26,4500,13423
1269,25,3800,13407
1270,24,3600,13407
1271,23,3400,13407
1272,22,3200,13407
1273,21,3000,13407
1274,20,2800,13407
1275,19,2800,14431
1276,18,2800,14431
1277,17,2300,12379
1278,16,2300,12379
1279,15,2300,12379
1280,14,2300,9305
1281,13,1800,9305
1282,12,1800,9305
1283,11,1300,9303
1284,10,1300,9303
1285,9,1000,8596
1286,8,1000,8596
1287,26,4500,13423
1288,25,3800,13407
1289,24,3600,13407
1290,23,3400,13407
1291,22,3200,13407
1292,21,3000,13407
1293,20,2800,13407
